number,equals,name
0,=>,C_VERSION
2,=>,C_LOGOUT
3,=>,C_ASK_QUIT
4,=>,C_READY_TO_QUIT
5,=>,C_DEAD_RESTART
6,=>,C_CHECK_LEVEL_DATA_VERSION
7,=>,C_EDIT_CHARACTER
8,=>,C_ENTER_WORLD
9,=>,C_LEVEL_READY
10,=>,C_SAVE_CLIENT_SETTINGS
0xb,=>,C_FIND_NPC_POS
0xc,=>,C_CHANGE_OPTION_FLAGS
0xd,=>,C_CHANGE_DIRECTION
0xe,=>,C_CAPTCHA
0xf,=>,C_ACCEPT_TELEPORT
0x10,=>,C_REQUEST_GUILD_NAME
0x11,=>,C_BLINK
0x12,=>,C_SYNC_TIME
0x13,=>,C_GATHER
0x14,=>,C_MINIGAME
0x15,=>,C_FUNCTIONAL_PET_MOVE
0x16,=>,C_FUNCTIONAL_PET
0x17,=>,C_TOGGLE_DOOR
0x18,=>,C_TOGGLE_CHEST
0x19,=>,C_GIVE_ITEM
0x1a,=>,C_PETITION
0x1b,=>,C_SAY
0x1c,=>,C_WHISPER
0x1f,=>,C_CHANGE_TARGET
0x20,=>,C_ATTACK
0x21,=>,C_USE_SKILL
0x22,=>,C_TURN_OFF_TOGGLE_SKILL
0x23,=>,C_TURN_OFF_ABNORMAL_STATUS
0x24,=>,C_TURN_OFF_MAINTAIN_SKILL
0x25,=>,C_USE_ITEM
0x26,=>,C_USE_EQUIPMENT_ITEM
0x27,=>,C_ASK_PC_INFO
0x28,=>,C_SAVE
0x29,=>,C_BUILDER_COMMAND
0x2a,=>,C_BUILDER_CONTROL
0x2b,=>,C_ACTION
0x2c,=>,C_ALIVE
0x2d,=>,C_GUILD
0x2e,=>,C_LEAVE_INSTANTDUNGEON
0x2f,=>,C_REQUEST_GUILD_EMBLEM_IMG
0x30,=>,C_MOVE_NEW
0x31,=>,C_PATH_FLY
0x32,=>,C_ANSWER
0x33,=>,C_BUY_SELL
0x34,=>,C_START_DIALOG
0x35,=>,C_END_DIALOG
0x36,=>,C_HACTION
0x37,=>,C_REQUEST_GUILD_HISTORY
0x38,=>,C_BOOKMARK
0x39,=>,C_DELETE_BOOKMARK
0x3a,=>,C_TODAY_WORDS
0x3b,=>,C_CHANGE_EMBLEM_VER
0x3d,=>,C_ASK_PARTY_INFO
0x3e,=>,C_ASK_LOG
0x3f,=>,C_ASK_XCHG
0x40,=>,C_ADD_XCHG
0x41,=>,C_REMOVE_XCHG
0x42,=>,C_XCHG_GOLD
0x43,=>,C_CHECK_XCHG
0x44,=>,C_ACCEPT_XCHG
0x45,=>,C_CANCEL_XCHG
0x46,=>,C_WIND_PATH
0x47,=>,C_CUSTOM_ANIM
0x4a,=>,C_ENCHANT_ITEM
0x4c,=>,C_GUILD_FUND
