number,equals,name
0,=>,S_VERSION_CHECK
1,=>,S_STATUS
2,=>,S_STATUS_OTHER
3,=>,S_HIT_POINT
4,=>,S_MANA_POINT
5,=>,S_HIT_POINT_OTHER
6,=>,S_DP
7,=>,S_DP_USER
8,=>,S_EXP
9,=>,S_LOGIN_CHECK
10,=>,S_CUTSCENE_NPC_INFO
0xb,=>,S_CHANGE_GUILD_MEMBER_NICKNAME
0xc,=>,S_GUILD_HISTORY
0xd,=>,S_ENTER_WORLD_CHECK
0xe,=>,S_PUT_NPC
0xf,=>,S_WORLD
0x10,=>,S_DUMMY_PACKET
0x11,=>,S_PUT_OBJECT
0x12,=>,S_PUT_VEHICLE
0x13,=>,S_BUILDER_RESULT
0x14,=>,S_REQUEST_TELEPORT
0x15,=>,S_BLINK
0x16,=>,S_REMOVE_OBJECT
0x17,=>,S_WAIT_LIST
0x18,=>,S_MESSAGE
0x19,=>,S_MESSAGE_CODE
0x1a,=>,S_LOAD_INVENTORY
0x1b,=>,S_ADD_INVENTORY
0x1c,=>,S_REMOVE_INVENTORY
0x1d,=>,S_CHANGE_ITEM_DESC
0x1e,=>,S_LOAD_CLIENT_SETTINGS
0x1f,=>,S_CHANGE_STANCE
0x20,=>,S_PUT_USER
0x21,=>,S_USE_SKILL
0x22,=>,S_GATHER_OTHER
0x23,=>,S_GATHER
0x24,=>,S_WIELD
0x25,=>,S_ACTION
0x26,=>,S_TIME
0x27,=>,S_SYNC_TIME
0x28,=>,S_NPC_CHANGED_TARGET
0x29,=>,S_TARGET_INFO
0x2a,=>,S_SKILL_CANCELED
0x2b,=>,S_SKILL_SUCCEDED
0x2c,=>,S_ADD_SKILL
0x2d,=>,S_DELETE_SKILL
0x2e,=>,S_TOGGLE_SKILL_ON_OFF
0x2f,=>,S_ADD_MAINTAIN_SKILL
0x30,=>,S_DELETE_MAINTAIN_SKILL
0x31,=>,S_ABNORMAL_STATUS
0x32,=>,S_ABNORMAL_STATUS_OTHER
0x33,=>,S_LOAD_SKILL_COOLTIME
0x34,=>,S_ASK
0x35,=>,S_CANCEL_ASK
0x36,=>,S_ATTACK
0x37,=>,S_MOVE_NEW
0x38,=>,S_MOVE_OBJECT
0x39,=>,S_CHANGE_DIRECTION
0x3a,=>,S_POLYMORPH
0x3b,=>,S_SKILL_OTHER
0x3c,=>,S_NPC_HTML_MESSAGE
0x3e,=>,S_GUILD_OTHER_INFO
0x3f,=>,S_ADD_BOOKMARK
0x40,=>,S_ITEM_LIST
0x41,=>,S_GUILD_OTHER_MEMBER_INFO
0x42,=>,S_WEATHER
0x43,=>,S_INVISIBLE_LEVEL
0x44,=>,S_RECALLED_BY_OTHER
0x45,=>,S_EFFECT
0x46,=>,S_LOAD_WORKINGQUEST
0x47,=>,S_KEY
0x48,=>,S_RESET_SKILL_COOLING_TIME
0x49,=>,S_XCHG_START
0x4a,=>,S_ADD_XCHG
0x4b,=>,S_REMOVE_XCHG
0x4c,=>,S_XCHG_GOLD
0x4d,=>,S_XCHG_RESULT
0x4e,=>,S_ADDREMOVE_SOCIAL
0x4f,=>,S_CHECK_MESSAGE
0x50,=>,S_USER_CHANGED_TARGET
0x52,=>,S_EDIT_CHARACTER
0x53,=>,S_SERIAL_KILLER_LIST
